reconnaissance,TA0043,enterprise
resource-development,TA0042,enterprise
initial-access,TA0001,enterprise
execution,TA0002,enterprise
persistence,TA0003,enterprise
privilege-escalation,TA0004,enterprise
defense-evasion,TA0005,enterprise
credential-access,TA0006,enterprise
discovery,TA0007,enterprise
lateral-movement,TA0008,enterprise
collection,TA0009,enterprise
command-and-control,TA0011,enterprise
exfiltration,TA0010,enterprise
impact,TA0040,enterprise
